STEM_Student_ID,NOTIONAL_NVQ_LEVEL_CODE,LEARNING_AIM_TYPE_DESC,PLP main qual type
01505467,3,Certificate,All other graded level 3 quals
01505492,3,Edexcel National Diploma (new syllabus),BTEC National Dip
01505670,2,Other,All other graded level 2 quals
01507381,2,Certificate,All other graded level 2 quals
01508076,X,Non Council funded studies,Level 4 and above
01800083,4,HNC,Level 4 and above
01801550,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
01802039,X,Certificate,All Other Non-graded Level 2 Quals
01900116,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
01901084,X,Non Council funded studies,Unknown
01901249,3,Other,All other graded level 3 quals
02100041,2,NVQ,NVQ Level 2
02100066,2,NVQ,NVQ Level 2
02100134,2,Diploma,All other graded level 2 quals
02100146,3,Edexcel National Diploma (new syllabus),BTEC National Dip
02100190,E,Other,Entry Level 3
02100316,2,Intermediate Award,All other graded level 2 quals
02100325,3,Certificate,All other graded level 3 quals
02100439,X,Non Council funded studies,Level 4 and above
02100450,3,Edexcel National Diploma (new syllabus),BTEC National Dip
02200007,3,Edexcel National Diploma (new syllabus),BTEC National Dip
02200212,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
02200580,3,Diploma,All other graded level 3 quals
02300026,3,Access Certificate,Access to HE
02300109,3,Edexcel National Diploma (new syllabus),BTEC National Dip
02300219,2,Certificate,All other graded level 2 quals
02300464,3,Edexcel National Diploma (new syllabus),BTEC National Dip
02500090,2,NVQ,NVQ Level 2
02500136,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
02500219,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
02500450,4,HNC,Level 4 and above
02500565,4,HNC,Level 4 and above
02500621,X,Non Council funded studies,Level 4 and above
02500669,3,Access to Higher Education Diploma (from 2007),Access to HE
02500892,3,Certificate,All other graded level 3 quals
02500941,1,CG 2360,All other graded level 1 quals
02501088,2,NVQ,NVQ Level 2
02501261,2,Certificate,All other graded level 2 quals
02501681,X,Non Council funded studies,Level 4 and above
02501880,X,Other,Unknown
02501898,4,NVQ,Level 4 and above
02501900,2,Certificate,All other graded level 2 quals
02502159,X,Non Council funded studies,Unknown
02502221,2,NVQ,NVQ Level 2
02502230,2,Other,All other graded level 2 quals
02502239,3,Access to Higher Education Diploma (from 2007),Access to HE
02502252,2,Certificate,All other graded level 2 quals
02502410,2,Intermediate Award,All other graded level 2 quals
02502418,X,Non Council funded studies,Level 4 and above
02502455,4,Diploma,Level 4 and above
02502515,2,Intermediate Award,All other graded level 2 quals
02502629,3,Edexcel National Diploma (new syllabus),BTEC National Dip
02502675,H,HNC,Level 4 and above
02502705,2,Diploma,All other graded level 2 quals
02502981,3,Edexcel National Diploma (new syllabus),BTEC National Dip
02503236,2,Diploma,All other graded level 2 quals
02503319,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
02503353,X,Non Council funded studies,Unknown
02503355,E,Other,FDN Access
02503359,2,Diploma,All other graded level 2 quals
02503402,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
02503511,2,NVQ,NVQ Level 2
02503749,3,Principal Learning within Diploma (14-19),All other graded level 3 quals
02503776,3,Access Certificate,Access to HE
02503864,1,Introductory Diploma,BTEC Intro Diploma & Cert
02504070,4,Other,Level 4 and above
02504302,2,GCSEs in Vocational Subjects,GCSEs
02504527,3,Edexcel National Diploma (new syllabus),BTEC National Dip
02504736,2,Certificate,All other graded level 2 quals
02505048,X,Other,Entry Level 3
02505101,X,Non Council funded studies,Unknown
02505218,3,NVQ,NVQ Level 3
02506051,3,Access Certificate,Access to HE
02506080,E,Certificate,Entry Level 2
02506263,2,Certificate,All other graded level 2 quals
02506355,2,Certificate,All other graded level 2 quals
02506408,3,Certificate,All other graded level 3 quals
02506454,1,Certificate,All other graded level 1 quals
02506898,3,Diploma,All other graded level 3 quals
02506949,2,Certificate,All other graded level 2 quals
02506962,X,Non Council funded studies,Unknown
02507020,E,Certificate,Entry Level 1
02507134,2,Other,All other graded level 2 quals
02508220,1,Other,All other graded level 1 quals
02508361,X,Non Council funded studies,Unknown
03007025,3,Certificate,All other graded level 3 quals
03100268,X,Other,Technical Certificate Level 3
03100537,2,NVQ,NVQ Level 2
03200030,3,NVQ,NVQ Level 3
03200071,3,Edexcel National Diploma (new syllabus),BTEC National Dip
03200159,2,NVQ,NVQ Level 2
03200542,3,Edexcel National Diploma (new syllabus),BTEC National Dip
03300063,2,Other,All other graded level 2 quals
03300066,3,Edexcel National Diploma (new syllabus),FDN Access
03300209,2,Certificate,All other graded level 2 quals
03300332,1,Foundation Award,All other graded level 1 quals
03300414,2,NVQ,NVQ Level 2
03300421,3,Advanced VCE (Double Award),All other graded level 3 quals
03500273,2,NVQ,NVQ Level 2
03500320,2,Certificate,All other graded level 2 quals
03500351,2,Certificate,All other graded level 2 quals
03500427,3,Edexcel National Diploma (new syllabus),BTEC National Dip
03500645,2,Certificate,All other graded level 2 quals
03500659,X,Non Council funded studies,Level 4 and above
03501157,H,Other,Level 4 and above
03501507,H,HNC,Level 4 and above
03501562,1,Foundation Award,All other graded level 1 quals
03501642,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
03501819,3,Access to Higher Education Diploma (from 2007),Access to HE
03502036,2,GCSE,GCSEs
03502262,3,Edexcel National Diploma (new syllabus),BTEC National Dip
03502328,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
03502368,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
03502432,2,Certificate,All other graded level 2 quals
03502463,3,Edexcel National Diploma (new syllabus),BTEC National Dip
03502709,3,Edexcel National Diploma (new syllabus),BTEC National Dip
03502840,X,Non Council funded studies,All Other Non-graded Level 2 Quals
03502953,1,Basic Certificate,All other graded level 1 quals
03503197,3,GCE AS level,A Levels
03503337,2,Certificate,All other graded level 2 quals
03503606,2,NVQ,NVQ Level 2
03503616,2,Certificate,All other graded level 2 quals
03503623,2,Diploma,All other graded level 2 quals
03504092,3,Diploma,All other graded level 3 quals
03504120,2,NVQ,NVQ Level 2
03504139,2,Certificate,All other graded level 2 quals
03504346,2,Certificate,All other graded level 2 quals
03504409,X,Non Council funded studies,All Other Non-graded Level 2 Quals
03504473,2,Certificate,All other graded level 2 quals
03504627,4,HNC,Level 4 and above
03504758,4,HNC,Level 4 and above
03504838,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
03504856,E,Other,Entry Level 3
03504882,E,Other,Entry Level 3
03504890,E,Other,Entry Level 3
03504896,E,Other,Entry Level 3
03504917,E,Certificate,Entry Level 1
03504951,2,GCSE,GCSEs
03505162,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
03505203,2,Certificate,All other graded level 2 quals
03505292,3,Diploma,All other graded level 3 quals
03505395,3,Advanced VCE (Double Award),All other graded level 3 quals
03505454,2,NVQ,NVQ Level 2
03505639,2,Certificate,All other graded level 2 quals
03505714,X,Non Council funded studies,Unknown
03505786,3,Diploma,CACHE Dip
03505898,3,Diploma,All other graded level 3 quals
03506251,3,GCE AS level,A Levels
03506378,E,Other,Entry Level 3
03506535,4,Other,Level 4 and above
03506578,3,Edexcel National Diploma (new syllabus),BTEC National Dip
03506610,3,GCE AS level,A Levels
03506882,2,Diploma,All other graded level 2 quals
03507072,X,Non Council funded studies,Level 4 and above
03507146,2,Edexcel First Diploma (new syllabus),BTEC First Dip
03507370,2,Other,All other graded level 2 quals
03507371,X,Non Council funded studies,Unknown
03507436,2,Certificate,All other graded level 2 quals
03507463,3,Access Certificate,FDN Access
03507483,2,GCSEs in Vocational Subjects,GCSEs
03507722,2,Certificate,All other graded level 2 quals
03507814,3,Access to Higher Education Diploma (from 2007),Access to HE
03507987,4,NVQ,Level 4 and above
03508054,X,Other,All Other Non-graded Level 2 Quals
03508189,2,Diploma,All other graded level 2 quals
03508262,3,Certificate,All other graded level 3 quals
03509862,2,Certificate,All other graded level 2 quals
03510184,2,Diploma,All other graded level 2 quals
03510194,1,Other,All other graded level 1 quals
03510522,3,Access to Higher Education Diploma (from 2007),Access to HE
03511363,2,NVQ,NVQ Level 2
03511512,3,Other,All other graded level 3 quals
03512070,3,Certificate,All other graded level 3 quals
03512293,2,GCSEs in Vocational Subjects,Technical Certificate Level 3
03512539,X,Non Council funded studies,Level 4 and above
03512860,2,Diploma,All other graded level 2 quals
03512975,2,Certificate,All other graded level 2 quals
04000020,3,Access to Higher Education Diploma (from 2007),Access to HE
04000224,4,NVQ,Level 4 and above
04000279,2,Certificate,All other graded level 2 quals
04000487,2,Diploma,All other graded level 2 quals
04000534,2,Edexcel First Diploma (new syllabus),BTEC First Dip
04000553,2,GNVQ,NVQ Level 2
04000580,2,Certificate,All other graded level 2 quals
04000654,2,NVQ,NVQ Level 2
04000667,3,Edexcel National Diploma (new syllabus),BTEC National Dip
04000829,1,NVQ,NVQ Level 1
04000890,3,Edexcel National Diploma (new syllabus),BTEC National Dip
04001086,3,Edexcel National Award,BTEC National Award
04001104,3,Edexcel National Award,BTEC National Award
04001349,2,Certificate,Technical Certificate Level 2
04001446,1,Diploma,All other graded level 1 quals
04001503,2,Certificate,All other graded level 2 quals
04001522,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
04001624,3,Access to Higher Education Diploma (from 2007),Access to HE
04001661,3,Diploma,All other graded level 3 quals
04001666,3,Edexcel National Diploma (new syllabus),BTEC National Dip
04001667,1,CG 3791,All other graded level 1 quals
04001759,2,Edexcel First Diploma (new syllabus),BTEC First Dip
04001775,X,Non Council funded studies,Level 4 and above
04001910,2,Diploma,All other graded level 2 quals
04002078,1,CG 3791,All other graded level 1 quals
04002190,3,Diploma,All other graded level 3 quals
04002256,3,Conversion Class Code,All other graded level 3 quals
04002350,H,HND,Level 4 and above
04002546,E,Certificate,Entry Level 3
04002588,2,Edexcel First Diploma (new syllabus),BTEC First Dip
04002595,3,Access to Higher Education Diploma (from 2007),Access to HE
04002789,1,Foundation Award,All other graded level 1 quals
04002802,2,Edexcel First Diploma (new syllabus),BTEC First Dip
04002807,3,Access to Higher Education Diploma (from 2007),Access to HE
04003079,3,Access to Higher Education Diploma (from 2007),Access to HE
04003243,2,Certificate,All other graded level 2 quals
04003334,3,GCE AS level,A Levels
04003428,1,Diploma,All other graded level 1 quals
04003481,3,Edexcel National Diploma (new syllabus),BTEC National Dip
04003497,2,Certificate,All other graded level 2 quals
04003526,2,Certificate,All other graded level 2 quals
04003570,2,Certificate,All other graded level 2 quals
04003757,2,Certificate,All other graded level 2 quals
04004069,2,Certificate,All other graded level 2 quals
04004168,2,Certificate,All other graded level 2 quals
04004228,2,NVQ,NVQ Level 2
04004269,3,Access to Higher Education Diploma (from 2007),Access to HE
04004284,2,Certificate,All other graded level 2 quals
04004693,3,Edexcel National Diploma (new syllabus),BTEC National Dip
04004697,3,Edexcel National Diploma (new syllabus),BTEC National Dip
04004737,2,Diploma,All other graded level 2 quals
04004839,2,Diploma,All other graded level 2 quals
04004856,5,Diploma,Level 4 and above
04004999,X,Non Council funded studies,Level 4 and above
04005053,1,NVQ,NVQ Level 1
04005070,2,Certificate,All other graded level 2 quals
04005079,3,Access to Higher Education Diploma (from 2007),Access to HE
04005220,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
04005344,3,Edexcel National Diploma (new syllabus),BTEC National Dip
04005482,2,NVQ,NVQ Level 2
04005505,2,Certificate,Technical Certificate Level 3
04005583,2,Diploma,All other graded level 2 quals
04005593,X,Non Council funded studies,All Other Non-graded Level 3 Quals
04005637,2,Certificate,All other graded level 2 quals
04005663,2,Certificate,All other graded level 2 quals
04005707,3,Edexcel National Diploma (new syllabus),BTEC National Dip
04005712,3,Certificate,All other graded level 3 quals
04005714,3,Certificate,All other graded level 3 quals
04005835,3,Certificate,Technical Certificate Level 3
04005874,2,Certificate,All other graded level 2 quals
04006049,3,Certificate,All other graded level 3 quals
04006085,2,Certificate,All other graded level 2 quals
04006106,4,Unitisation Provision,Level 4 and above
04006282,3,Principal Learning within Diploma (14-19),All other graded level 3 quals
04006512,1,NVQ,NVQ Level 1
04006640,2,Certificate,All other graded level 2 quals
04006710,2,GCSE,GCSEs
04006726,X,Non Council funded studies,Unknown
04006964,2,NVQ,NVQ Level 2
04007034,3,NVQ,NVQ Level 3
04007274,3,Access to Higher Education Diploma (from 2007),Access to HE
04007369,H,HNC,Level 4 and above
04007845,3,Edexcel National Diploma (new syllabus),BTEC National Dip
04007885,2,Edexcel First Diploma (new syllabus),BTEC First Dip
04008069,3,Edexcel National Diploma (new syllabus),BTEC National Dip
04008224,3,Advanced VCE (Double Award),All other graded level 3 quals
04008539,X,Non Council funded studies,Level 4 and above
04008655,2,Certificate,All other graded level 2 quals
04008695,1,Diploma,All other graded level 1 quals
04008718,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
04008808,3,CG 1820,All other graded level 3 quals
04009042,2,Certificate,All other graded level 2 quals
04009134,X,Non Council funded studies,Unknown
04009162,X,Non Council funded studies,Unknown
04009183,3,Access to Higher Education Diploma (from 2007),Access to HE
04009308,E,Other,Entry Level 3
04009592,X,Non Council funded studies,Level 4 and above
04009613,3,Edexcel National Diploma (new syllabus),BTEC National Dip
04009703,2,Certificate,All other graded level 2 quals
04010007,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
04010162,3,Access Certificate,Access to HE
04010630,E,Certificate,Entry Level 3
04010644,2,NVQ,NVQ Level 2
04010684,E,Other,Entry Level 3
04010712,2,NVQ,NVQ Level 2
04010935,X,Non Council funded studies,Unknown
04010946,E,Other,Entry Level 3
04011468,2,NVQ,NVQ Level 2
04011530,3,Edexcel National Diploma (new syllabus),BTEC National Dip
04011704,3,Access to Higher Education Diploma (from 2007),Access to HE
04011754,3,Certificate,Technical Certificate Level 3
04011832,X,Non Council funded studies,Level 4 and above
04011850,1,Diploma,All other graded level 1 quals
04011932,E,Other,Entry Level 3
04012179,E,Unitisation Provision,Technical Certificate Level 3
04012257,E,Other,Entry Level 3
04012317,2,Certificate,All other graded level 2 quals
04012372,2,Certificate,All other graded level 2 quals
04012565,E,Certificate,Technical Certificate Level 3
04012593,3,Other,All other graded level 3 quals
04012932,2,Certificate,All other graded level 2 quals
04013343,H,HNC,Level 4 and above
04013623,3,Other,All other graded level 3 quals
04013957,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
04014220,E,Certificate,Entry Level 1
04014329,X,Non Council funded studies,Level 4 and above
04014526,E,Certificate,Entry Level 3
04014760,1,Diploma,All other graded level 1 quals
04015220,E,Certificate,Entry Level 2
04015548,3,Access to Higher Education Diploma (from 2007),Access to HE
04016337,2,NVQ,NVQ Level 2
04016991,X,Other,Entry Level 3
04017000,2,Certificate,All other graded level 2 quals
04017114,3,Certificate,All other graded level 3 quals
04018843,2,NVQ,NVQ Level 2
04019389,X,Non Council funded studies,Level 4 and above
04019797,2,Diploma,All other graded level 2 quals
04019821,X,Non Council funded studies,Unknown
04021053,3,Other,All other graded level 3 quals
04021507,2,Certificate,All other graded level 2 quals
04022507,X,Other,All Other Non-graded Level 2 Quals
04022534,4,NVQ,Level 4 and above
04022748,3,Principal Learning within Diploma (14-19),All other graded level 3 quals
04022758,2,GCSEs in Vocational Subjects,GCSEs
04022894,3,Edexcel National Diploma (new syllabus),BTEC National Dip
04023202,3,GCE AS level,A Levels
04023396,3,Principal Learning within Diploma (14-19),All other graded level 3 quals
04023468,X,Non Council funded studies,Unknown
04023602,2,Diploma,All other graded level 2 quals
04023775,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
04023853,3,Edexcel National Award,BTEC National Award
04023859,2,Certificate,All other graded level 2 quals
04024072,3,Access Certificate,Access to HE
05012154,2,NVQ,NVQ Level 2
05012187,1,Diploma,All other graded level 1 quals
05012193,2,National Certificate,BTEC National Certificate
05012242,3,Conversion Class Code,All other graded level 3 quals
05012865,3,Access to Higher Education Diploma (from 2007),Access to HE
05013449,E,Certificate,Entry Level 1
05014018,3,Conversion Class Code,All other graded level 3 quals
05014086,3,Access to Higher Education Diploma (from 2007),Access to HE
05014182,2,NVQ,NVQ Level 2
05014200,2,Diploma,All other graded level 2 quals
05014265,X,Other,Unknown
05014374,2,NVQ,NVQ Level 2
05014510,H,HNC,Level 4 and above
05014625,2,Certificate,All other graded level 2 quals
05014821,X,Non Council funded studies,Unknown
05014869,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05014875,3,Conversion Class Code,All other graded level 3 quals
05014990,3,GCE AS level,A Levels
05015010,2,NVQ/GNVQ Key Skills Unit,Technical Certificate Level 3
05015085,2,Certificate,All other graded level 2 quals
05015091,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
05015260,4,NVQ,Level 4 and above
05015288,H,HND,Level 4 and above
05015392,X,Non Council funded studies,Level 4 and above
05015545,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05015600,4,NVQ,Level 4 and above
05015620,2,Certificate,All other graded level 2 quals
05015622,1,Foundation Award,All other graded level 1 quals
05015720,X,Non Council funded studies,Level 4 and above
05015772,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
05015781,3,Access to Higher Education Diploma (from 2007),Access to HE
05015845,3,Access to Higher Education Diploma (from 2007),Access to HE
05016088,1,NVQ,NVQ Level 1
05016094,2,Certificate,All other graded level 2 quals
05016147,2,Diploma,All other graded level 2 quals
05016178,2,NVQ,Technical Certificate Level 3
05016193,2,NVQ,NVQ Level 2
05016267,2,Certificate,All other graded level 2 quals
05016434,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
05016490,H,HNC,Level 4 and above
05016627,3,Diploma,All other graded level 3 quals
05016673,3,GCE AS level,A Levels
05016723,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
05016845,X,Non Council funded studies,Level 4 and above
05016850,2,NVQ,NVQ Level 2
05016880,2,Diploma,All other graded level 2 quals
05016925,2,NVQ,NVQ Level 2
05017010,2,Certificate,All other graded level 2 quals
05017026,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05017399,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05017442,2,Diploma,All other graded level 2 quals
05017757,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05017868,3,GCE AS level,A Levels
05018660,X,Other,Level 4 and above
05018666,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05018677,2,Certificate,All other graded level 2 quals
05018700,2,Certificate,All other graded level 2 quals
05018715,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
05018725,2,Edexcel First Diploma (new syllabus),BTEC First Dip
05018782,4,NVQ,Level 4 and above
05018849,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05018865,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05019080,X,Non Council funded studies,Level 4 and above
05019110,2,Certificate,All other graded level 2 quals
05019386,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
05019409,3,Access Certificate,Access to HE
05019571,2,NVQ,NVQ Level 2
05019893,X,Non Council funded studies,Level 4 and above
05019899,3,Access Certificate,Access to HE
05019945,X,Non Council funded studies,Level 4 and above
05020134,2,Diploma,All other graded level 2 quals
05020573,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05020800,2,NVQ/GNVQ Key Skills Unit,Technical Certificate Level 2
05020946,3,GCE AS level,A Levels
05021044,3,Certificate,All other graded level 3 quals
05021186,2,Certificate,All other graded level 2 quals
05021319,X,Non Council funded studies,Level 4 and above
05021499,2,Diploma,All other graded level 2 quals
05021741,3,Access to Higher Education Diploma (from 2007),Access to HE
05021782,3,Certificate,All other graded level 3 quals
05021851,5,Diploma,Level 4 and above
05021939,X,Other,Unknown
05022121,X,Non Council funded studies,Unknown
05022339,3,Access to Higher Education Diploma (from 2007),Access to HE
05022479,3,Certificate,All other graded level 3 quals
05022740,2,Diploma,All other graded level 2 quals
05023293,2,Diploma,All other graded level 2 quals
05023416,2,Certificate,All other graded level 2 quals
05023528,2,NVQ,NVQ Level 2
05023785,1,Foundation Award,All other graded level 1 quals
05023792,2,Certificate,All other graded level 2 quals
05023815,3,GNVQ,NVQ Level 3
05024170,2,GCSE,GCSEs
05024186,2,NVQ,NVQ Level 2
05024417,2,Diploma,All other graded level 2 quals
05024464,2,NVQ,NVQ Level 2
05024496,E,Other,Entry Level 3
05024564,4,Diploma,Level 4 and above
05024661,2,Certificate,Technical Certificate Level 2
05024670,3,GCE AS level,A Levels
05024678,2,Other,All other graded level 2 quals
05024699,1,Certificate,All other graded level 1 quals
05024709,3,Diploma,All other graded level 3 quals
05024739,2,Diploma,All other graded level 2 quals
05024745,3,Access Certificate,Access to HE
05024757,X,Other,Entry Level 3
05024763,X,Other,Entry Level 3
05024785,2,Diploma,All other graded level 2 quals
05024794,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05024804,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05024811,X,Other,Entry Level 3
05024816,X,Other,Entry Level 3
05024950,2,Certificate,All other graded level 2 quals
05024996,2,Certificate,All other graded level 2 quals
05025201,4,HNC,Level 4 and above
05025246,E,Other,Entry Level 3
05025369,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05025449,3,Access to Higher Education Diploma (from 2007),Access to HE
05025487,2,Certificate,All other graded level 2 quals
05025525,2,NVQ,NVQ Level 2
05025579,4,HNC,Level 4 and above
05025590,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05025593,2,Diploma,All other graded level 2 quals
05025724,2,Certificate,All other graded level 2 quals
05025808,E,Certificate,CACHE Level 2
05025810,E,Unitisation Provision,Technical Certificate Level 3
05025881,3,NVQ,NVQ Level 3
05025966,X,Non Council funded studies,Level 4 and above
05025974,2,Certificate,All other graded level 2 quals
05026048,3,Access to Higher Education Diploma (from 2007),Access to HE
05026326,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05026412,2,Certificate,All other graded level 2 quals
05026441,2,Certificate,All other graded level 2 quals
05026483,2,Other,All other graded level 2 quals
05026640,2,NVQ,NVQ Level 2
05026762,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05026853,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
05026859,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
05026974,2,Diploma,All other graded level 2 quals
05027001,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
05027014,X,Non Council funded studies,Level 4 and above
05027119,E,Certificate,Entry Level 2
05027135,1,GNVQ,NVQ Level 1
05027167,2,Diploma,All other graded level 2 quals
05027188,2,Certificate,All other graded level 2 quals
05027258,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05027265,2,Edexcel First Diploma (new syllabus),BTEC First Dip
05027305,2,Diploma,All other graded level 2 quals
05027360,E,Certificate,Entry Level 3
05027364,3,GCE AS level,A Levels
05027379,3,NVQ/GNVQ Key Skills Unit,Technical Certificate Level 3
05027496,2,Certificate,All other graded level 2 quals
05027499,2,NVQ,Technical Certificate Level 2
05027533,E,Certificate,Entry Level 3
05027740,E,Other,Entry Level 3
05027759,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05027866,2,Certificate,Technical Certificate Level 3
05027885,2,NVQ,NVQ Level 2
05027897,4,HNC,Level 4 and above
05027910,3,Access to Higher Education Diploma (from 2007),Access to HE
05027923,E,Other,Entry Level 3
05027935,2,Diploma,Technical Certificate Level 2
05027937,1,Diploma,All other graded level 1 quals
05027946,2,Certificate,Technical Certificate Level 3
05027949,X,Non Council funded studies,Level 4 and above
05028009,E,Certificate,Entry Level 3
05028011,2,Diploma,All other graded level 2 quals
05028106,3,Access to Higher Education Diploma (from 2007),Access to HE
05028179,H,HNC,Level 4 and above
05028210,3,Conversion Class Code,All other graded level 3 quals
05028212,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05028439,4,NVQ,Level 4 and above
05028471,2,Other,All other graded level 2 quals
05028477,1,NVQ,NVQ Level 1
05028512,E,Other,Entry Level 3
05028537,E,Certificate,Cache Level 1
05028614,2,Diploma,All other graded level 2 quals
05028650,X,Non Council funded studies,Level 4 and above
05029091,E,Certificate,Entry Level 1
05029099,3,Edexcel National Diploma (new syllabus),BTEC National Dip
05029151,E,Certificate,Entry Level 1
05029243,2,Edexcel First Diploma (new syllabus),BTEC First Dip
05029408,2,Diploma,All other graded level 2 quals
05029557,2,Certificate,All other graded level 2 quals
